Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,RIVERS,W40P0R02,NULL,310,3,Yes,Yes,Yes,0,0.109999999,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,1439,72,1,300
00:00.0,RIVERS,W40P0R02,NULL,310,3,Yes,Yes,Yes,0,0.109999999,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,1442,72,1,300
00:00.0,FRASER,W50P0W16,NULL,310,1,No,No,Yes,4.599999905,4.829999924,Pattern 10,B,No,PULLERS,NULL,0,1,0,CLIP_RAIL,Yes,New,46.15000153,NULL,NULL,NULL,1346,72,1,60
00:00.0,TOGO,W40P0R03,NULL,310,1,No,No,Yes,60.99000168,61.31999969,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,0,0,NA,No,New,65,NULL,NULL,NULL,1706,72,1,300
00:00.0,RAINY,S70P0R01,NULL,310,1,No,No,Yes,140.9900055,141.3800049,Pattern 10,B,No,HEATERS,NULL,0,2,0,CLIP_RAIL,Yes,New,0,NULL,NULL,NULL,2517,72,1,300
00:00.0,EDSON,W50P0R06,NULL,310,1,Yes,Yes,Yes,84.09999847,86.93000031,Pattern 10,B,No,HEATERS,NULL,0,1,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,2393,72,1,480
00:00.0,EDSON,W50P0R06,NULL,310,1,Yes,Yes,Yes,84.09999847,86.93000031,Pattern 10,B,No,HEATERS,NULL,0,1,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,2393,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,87.48999786,88.45999908,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,4199,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,87.48999786,88.45999908,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,4199,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,87.80000305,88.72000122,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,4323,72,1,480
00:00.0,EDSON,W50P0R06,NULL,310,1,Yes,Yes,Yes,87.90000153,88.26000214,Pattern 10,B,No,HEATERS,NULL,0,1,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,2290,72,1,480
00:00.0,RAINY,S70P0R01,NULL,310,1,No,No,Yes,130.8300018,131.1000061,Pattern 10,B,No,HEATERS,NULL,0,2,0,CLIP_RAIL,Yes,New,30,NULL,NULL,NULL,1757,72,1,300
00:00.0,EDSON,W50P0R06,NULL,310,1,Yes,Yes,Yes,67.68000031,87.90000153,Pattern 10,A,No,HEATERS,NULL,1,1,0,CLIP_RAIL,No,New,15,NULL,NULL,NULL,2871,72,1,480
00:00.0,EDSON,W50P0R05,NULL,310,FB40,Yes,Yes,Yes,89.19000244,89.94999695,Pattern 10,A,No,HEATERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,3746,72,1,600
00:00.0,EDSON,W50P0R02,NULL,310,1,Yes,Yes,Yes,109.5800018,121.8600006,Pattern 10,B,No,HEATERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,1872,72,1,360
00:00.0,FRASER,W50P0W16,NULL,310,1,No,No,Yes,4.800000191,4.920000076,Pattern 10,B,No,PULLERS,NULL,0,0,0,CLIP_RAIL,Yes,New,30.13999939,NULL,NULL,NULL,1228,72,1,60
00:00.0,FRASER,W50P0W16,NULL,310,1,No,No,Yes,4.800000191,4.889999866,Pattern 10,B,No,PULLERS,NULL,0,0,0,CLIP_RAIL,Yes,New,33.33000183,NULL,NULL,NULL,278,72,1,60
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,86.86000061,87.47000122,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3195,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,83,83.70999908,Pattern 10,A,No,HEATERS,NULL,0,0,2,NA,Yes,New,0,NULL,NULL,NULL,3382,72,1,480
00:00.0,FRASER,W50P0W16,NULL,310,1,No,No,Yes,5.800000191,6.070000172,Pattern 10,B,No,PULLERS,NULL,0,1,0,CLIP_RAIL,Yes,New,49,NULL,NULL,NULL,1436,72,1,60
00:00.0,FRASER,W50P0W16,NULL,310,1,No,No,Yes,6.800000191,6.889999866,Pattern 10,B,No,PULLERS,NULL,0,1,0,CLIP_RAIL,Yes,New,54.24000168,NULL,NULL,NULL,273,72,1,60
00:00.0,BULKLEY,W50P0W11,NULL,510,1,No,No,Yes,11.80000019,11.82999992,Pattern 10,B,No,PULLERS,NULL,0,0,0,CLIP_RAIL,Yes,New,0,NULL,NULL,NULL,207,72,1,60
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,87.48999786,88.45999908,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,4530,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,87.48999786,88.45999908,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,4530,72,1,480
