Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,TieType,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,FastenerTypeTie,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,TieNumberType,NumberofTampers,PadInsulatorType,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes,TieDensity
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,9.899999619,9.930000305,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,79.78500366,0.699999988,1,1,2633.272949
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,9.890000343,9.949999809,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,317.8609924,0.699999988,1,0,0
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,9.899999619,9.930000305,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,79.78500366,0.699999988,1,1,2633.272949
00:00.0,SKEENA,W54T02TC,707565906,710,1,No,No,No,WOOD,47,47,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,8.3125,0.699999988,1,0,0
00:00.0,SKEENA,W54T02TC,707565906,710,SF72,No,No,No,WOOD,1.149999976,2,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,438.644989,0.699999988,1,0,5268.235352
00:00.0,SKEENA,W54T02TB,707566866,410,1,No,No,No,CONCRETE,51.02000046,51.13000107,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,290.1700134,0.699999988,1,330,2636.349121
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,19.04000092,19.04999924,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,38.97499847,0.699999988,1,0,3800.637939
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,19,19.03000069,Pattern 10,D,NA,0,NULL,NULL,NA,0,NULL,84.01000214,0.699999988,1,0,4499.896973
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,21.70000076,21.78000069,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,236.3099976,0.699999988,1,0,5512.505371
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,19.10000038,19.13999939,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,101.9150009,0.699999988,1,0,2500.062012
00:00.0,SKEENA,W54T02TB,707566866,410,1,No,No,No,CONCRETE,0,0,Pattern 8,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,0.5,0.699999988,1,270,0
00:00.0,SKEENA,W54T02TC,707565906,710,SF73,No,No,No,WOOD,1.110000014,2,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,409.5400085,0.699999988,1,0,5260.674316
00:00.0,SKEENA,W54T02TC,707565906,710,SF73,No,No,No,WOOD,1.110000014,2,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,409.5400085,0.699999988,1,0,5260.674316
00:00.0,SKEENA,W54T02TB,707566866,410,1,No,No,No,CONCRETE,51.20000076,51.22999954,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,82.10500336,0.699999988,1,140,2733.44458
00:00.0,SKEENA,W54T02TD,707566866,410,1,No,No,No,CONCRETE,40.43999863,40.5,Pattern 10,B,CLIP_RAIL,60,NULL,NULL,NA,0,NULL,244.1199951,0.699999988,1,240,5183.214844
00:00.0,SKEENA,W54T02TD,707566866,410,1,No,No,No,CONCRETE,40.54999924,40.59999847,Pattern 10,B,CLIP_RAIL,75,NULL,NULL,NA,0,NULL,237.5850067,0.699999988,1,240,5140.078613
00:00.0,SKEENA,W54T02TD,707566866,410,1,No,No,No,CONCRETE,40.38999939,40.40000153,Pattern 10,B,CLIP_RAIL,60,NULL,NULL,NA,0,NULL,51.64500046,0.699999988,1,240,6998.504883
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,8.5,8.68999958,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,456.7149963,0.699999988,1,0,5242.116699
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,8.220000267,8.25,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,89.80000305,0.699999988,1,0,3000.026611
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,7.400000095,7.639999866,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,502.6600037,0.699999988,1,0,5295.838379
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,13.92000008,14.01000023,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,224.8800049,0.699999988,1,0,2522.218018
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,13.89999962,14.02000046,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,375.125,0.699999988,1,0,5399.962402
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,41.5,41.79999924,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,413.6000061,0.699999988,1,0,5236.680176
00:00.0,YALE,W53T02TA,707565293,410,1,No,No,No,WOOD,40,40.02000046,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,40.42499924,0.699999988,1,0,2249.948486
00:00.0,ROSETOWN,W44T01TB,707565560,310,1,No,No,No,WOOD,38.79999924,43.79999924,Pattern 8,A,NA,0,NULL,NULL,NA,0,NULL,140.1549988,0.699999988,1,0,5.800000191
00:00.0,ROSETOWN,W44T0100,707565560,310,1,No,No,No,WOOD,38.79999924,44.36999893,Pattern 8,A,NA,0,NULL,NULL,NA,0,NULL,137.8099976,0.699999988,1,0,5.206463337
00:00.0,YALE,W53T01TA,707565622,410,X23,No,No,No,WOOD,0.01,0.02,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,33.39500046,0.699999988,1,0,3200
00:00.0,YALE,W50P0T03,707565622,410,PF50,No,No,No,WOOD,1.899999976,2.900000095,Pattern 6,D,NA,20,NULL,NULL,NA,0,NULL,235.5249939,0.699999988,1,300,237.9999695
00:00.0,YALE,W53T01TA,707565622,410,PC82,No,No,No,WOOD,0.01,0.029999999,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,268.2250061,0.699999988,1,0,1050
00:00.0,YALE,W53T01TA,707565622,410,PC82,No,No,No,WOOD,0.01,0.029999999,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,268.2250061,0.699999988,1,0,1050
00:00.0,YALE,W50P0T03,707565622,410,PF04,No,No,No,WOOD,0.01,1.50999999,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,516.539978,0.699999988,1,300,400
00:00.0,ROSETOWN,W44T0100,707565560,310,1,No,No,No,WOOD,44.70000076,45.65000153,Pattern 8,D,NA,0,NULL,NULL,NA,0,NULL,98.44499969,0.699999988,1,0,5.263153553
00:00.0,CLEARWATER,W53T06TK,707565247,710,1,No,No,No,CONCRETE,132.1000061,132.6399994,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,149.1499939,0.699999988,1,0,5242.657715
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,14.19999981,14.56999969,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,179.9100037,0.699999988,1,0,5289.190918
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,14.03999996,14.15999985,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,307.8999939,0.699999988,1,0,2558.335693
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,8.199999809,8.25,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,150.875,0.699999988,1,0,2879.989014
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,19.13999939,19.20999908,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,183.3300018,0.699999988,1,0,2585.725586
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,19.04999924,19.17000008,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,367.769989,0.699999988,1,0,5308.296387
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,21.70000076,21.87000084,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,443.3900146,0.699999988,1,0,5276.468262
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,21.70000076,21.73999977,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,99.09500122,0.699999988,1,0,2425.060059
00:00.0,BULKLEY,W54T04TD,707566872,410,1,No,No,No,CONCRETE,124.4499969,124.5699997,Pattern 8,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,307.3399963,0.699999988,1,0,2549.94165
00:00.0,EDSON,W51T02TB,707567182,410,1,Yes,Yes,No,CONCRETE,204.8000031,204.8300018,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,150.0216675,0.699999988,1,0,0
00:00.0,SKEENA,W54T02TC,707565906,710,1,No,No,No,WOOD,83.09999847,83.09999847,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,8.3125,0.699999988,1,0,0
00:00.0,SKEENA,W54T02TC,707565906,710,1,No,No,No,WOOD,83.09999847,83.09999847,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,8.3125,0.699999988,1,0,0
